seed,static_movement,static_distance,static_time,oracle_movement,oracle_distance,oracle_time,analytic
932825,20761.0,20761.0,22121.0,20761.0,20761.0,22121.0,20761.0
1658424,9009.0,13373.0,10459.0,9009.0,9009.0,10459.0,9127.0
1333254,13572.0,13572.0,15562.0,13572.0,13572.0,15562.0,13620.0
1351959,12507.0,12507.0,13357.0,12507.0,12507.0,13357.0,12507.0
1305512,8207.0,8207.0,10137.0,8207.0,8207.0,10137.0,8207.0
965248,5931.0,5177.0,7237.0,5931.0,5177.0,7237.0,6135.0
1228894,11598.0,11208.0,12158.0,8264.0,8264.0,9374.0,7670.0
1639105,16726.0,16726.0,17466.0,16726.0,16726.0,17466.0,16730.0
1595638,27067.0,26337.0,28137.0,13131.0,13131.0,15261.0,13773.0
1019275,7648.0,7648.0,9038.0,7648.0,7648.0,9038.0,7044.0
1075976,7604.0,7604.0,8884.0,7604.0,7604.0,8884.0,7036.0
1522841,12651.0,24437.0,26617.0,12651.0,12651.0,14701.0,12835.0
1028855,14348.0,13928.0,14818.0,9414.0,9414.0,10354.0,8980.0
1413316,8576.0,8576.0,9556.0,8576.0,8576.0,9556.0,8576.0
931365,5684.0,3784.0,6534.0,5612.0,3784.0,6534.0,4848.0
1113192,12774.0,12774.0,14274.0,12774.0,12774.0,14274.0,12774.0
1348913,8267.0,8267.0,9507.0,8267.0,8267.0,9507.0,7757.0
1296939,14295.0,14295.0,16045.0,14295.0,14295.0,16045.0,14295.0
1848821,11997.0,11997.0,13077.0,11997.0,11997.0,13077.0,11997.0
1321564,9606.0,13902.0,15692.0,9606.0,9606.0,10676.0,9652.0
1671046,6564.0,8198.0,11018.0,6564.0,6564.0,8954.0,6608.0
1889554,7183.0,8061.0,10011.0,7183.0,7183.0,8583.0,7303.0
1696461,15411.0,14641.0,16281.0,9163.0,9163.0,10893.0,9123.0
1817333,20116.0,20116.0,21596.0,20116.0,20116.0,21596.0,20116.0
1068413,14792.0,14792.0,16122.0,14792.0,14792.0,16122.0,14792.0
1515203,7066.0,7066.0,7876.0,7066.0,7066.0,7876.0,7872.0
1828796,8219.0,8219.0,9409.0,8219.0,8219.0,9409.0,8219.0
1767832,6855.0,6855.0,8345.0,6855.0,6855.0,8345.0,6611.0
1213432,7241.0,7241.0,8891.0,7241.0,7241.0,8891.0,7279.0
1190618,6998.0,6776.0,9536.0,6998.0,6776.0,8408.0,7084.0
