mobility_model,cmr,seed,scheme,total_cost
random_walk,0.2,1001,Static Movement-based,4637.0
random_walk,0.2,1001,Static Distance-based,2447.0
random_walk,0.2,1001,Static Time-based,5147.0
random_walk,0.2,1001,AM-RL-LU (Q-learning),6183.0
random_walk,0.2,1001,AM-RL-LU (DQN),5769.0
random_walk,0.2,1002,Static Movement-based,4016.0
random_walk,0.2,1002,Static Distance-based,2016.0
random_walk,0.2,1002,Static Time-based,4786.0
random_walk,0.2,1002,AM-RL-LU (Q-learning),5714.0
random_walk,0.2,1002,AM-RL-LU (DQN),5344.0
random_walk,0.2,1003,Static Movement-based,3562.0
random_walk,0.2,1003,Static Distance-based,1692.0
random_walk,0.2,1003,Static Time-based,4482.0
random_walk,0.2,1003,AM-RL-LU (Q-learning),5188.0
random_walk,0.2,1003,AM-RL-LU (DQN),4688.0
random_walk,0.2,1004,Static Movement-based,3675.0
random_walk,0.2,1004,Static Distance-based,1645.0
random_walk,0.2,1004,Static Time-based,4425.0
random_walk,0.2,1004,AM-RL-LU (Q-learning),5041.0
random_walk,0.2,1004,AM-RL-LU (DQN),5057.0
random_walk,0.2,1005,Static Movement-based,3163.0
random_walk,0.2,1005,Static Distance-based,1493.0
random_walk,0.2,1005,Static Time-based,4273.0
random_walk,0.2,1005,AM-RL-LU (Q-learning),4257.0
random_walk,0.2,1005,AM-RL-LU (DQN),4325.0
random_walk,0.5,1001,Static Movement-based,6688.0
random_walk,0.5,1001,Static Distance-based,4936.0
random_walk,0.5,1001,Static Time-based,7636.0
random_walk,0.5,1001,AM-RL-LU (Q-learning),9136.0
random_walk,0.5,1001,AM-RL-LU (DQN),6962.0
random_walk,0.5,1002,Static Movement-based,6087.0
random_walk,0.5,1002,Static Distance-based,4619.0
random_walk,0.5,1002,Static Time-based,7389.0
random_walk,0.5,1002,AM-RL-LU (Q-learning),10103.0
random_walk,0.5,1002,AM-RL-LU (DQN),6483.0
random_walk,0.5,1003,Static Movement-based,5602.0
random_walk,0.5,1003,Static Distance-based,4124.0
random_walk,0.5,1003,Static Time-based,6914.0
random_walk,0.5,1003,AM-RL-LU (Q-learning),6590.0
random_walk,0.5,1003,AM-RL-LU (DQN),5770.0
random_walk,0.5,1004,Static Movement-based,5942.0
random_walk,0.5,1004,Static Distance-based,4134.0
random_walk,0.5,1004,Static Time-based,6914.0
random_walk,0.5,1004,AM-RL-LU (Q-learning),8216.0
random_walk,0.5,1004,AM-RL-LU (DQN),6208.0
random_walk,0.5,1005,Static Movement-based,5015.0
random_walk,0.5,1005,Static Distance-based,3545.0
random_walk,0.5,1005,Static Time-based,6325.0
random_walk,0.5,1005,AM-RL-LU (Q-learning),6147.0
random_walk,0.5,1005,AM-RL-LU (DQN),5219.0
random_walk,1.0,1001,Static Movement-based,8452.0
random_walk,1.0,1001,Static Distance-based,8452.0
random_walk,1.0,1001,Static Time-based,9472.0
random_walk,1.0,1001,AM-RL-LU (Q-learning),11204.0
random_walk,1.0,1001,AM-RL-LU (DQN),9314.0
random_walk,1.0,1002,Static Movement-based,7494.0
random_walk,1.0,1002,Static Distance-based,7494.0
random_walk,1.0,1002,Static Time-based,9024.0
